,University Name,Acronym,ESTD,Type,Location,Specialization,Website
0,Ahsanullah University of Science and Technology,AUST,1995,Private,Dhaka,STEM,http://www.aust.edu/
1,American International University-Bangladesh,AIUB,1994,Private,Dhaka,General,https://www.aiub.edu/
2,Anwer Khan Modern University,AKMU,2016,Private,Dhaka,General,https://akmu.edu.bd
3,Asa University Bangladesh,ASAUB,2006,Private,Dhaka,General,http://www.asaub.edu.bd/
4,Asian University for Women,AUW,2008,International,Chittagong,(Female students only),https://asian-university.org/
5,Asian University of Bangladesh,AUB,1996,Private,Dhaka,General,http://www.aub.edu.bd/
6,Atish Dipankar University of Science and Technology,ADUST,2004,Private,Dhaka,STEM,http://www.adust.edu.bd/
7,BGC Trust University Bangladesh,BGCTUB,2001,Private,Chittagong,General,http://bgctub.ac.bd/
8,BGMEA University of Fashion & Technology,BUFT,2012,Private,Dhaka,General,https://buft.edu.bd/
9,Bandarban University,BdU,2019,Private,Bandarban,General,https://bubban.edu.bd
10,Bangabandhu Sheikh Mujib Medical University,BSMMU,1998,Public,Dhaka,Medical,http://bsmmu.edu.bd/
11,Bangabandhu Sheikh Mujibur Rahman Agricultural University,BSMRAU,1998,Public,Gazipur,Agricultural Science,https://bsmrau.edu.bd/
12,Bangabandhu Sheikh Mujibur Rahman Aviation and Aerospace University,BSMRAAU,2019,Public,Lalmonirhat,Aeronautical Science,http://bsmraau.edu.bd/
13,Bangabandhu Sheikh Mujibur Rahman Digital University,BDU,2018,Public,Kaliakoir,ICT in education,https://bdu.ac.bd/
14,Bangabandhu Sheikh Mujibur Rahman Maritime University,BSMRMU,2013,Public,Chittagong,Maritime transport,http://bsmrmu.edu.bd/
15,Bangabandhu Sheikh Mujibur Rahman Science and Technology University,BSMRSTU,2011,Public,Gopalganj,STEM,http://www.bsmrstu.edu.bd/
16,"Bangabandhu Sheikh Mujibur Rahman Science and Technology University, Pirojpur",BSMRSTUP,2022,Public,Pirojpur,STEM,NaN
17,"Bangabandhu Sheikh Mujibur Rahman Science and Technology University, Pirojpur",BSMRSUP,2022,Public,Pirojpur,STEM,https://www.bsmrstup.ac.bd/
18,Bangabandhu Sheikh Mujibur Rahman University,BSMRU,2020,Public,Kishoreganj,General,https://bsmru.ac.bd/
19,Bangamata Sheikh Fojilatunnesa Mujib Science & Technology University,BSFMSTU,2017,Public,Jamalpur,STEM,http://bsfmstu.ac.bd/
20,Bangladesh Agricultural University,BAU,1961,Public,Mymensingh,Agricultural Science,http://bau.edu.bd/
21,Bangladesh Army International University of Science & Technology,BAIUST,2015,Private,Comilla,STEM,http://www.baiust.edu.bd/
22,Bangladesh Army University of Engineering & Technology,BAUET,2015,Private,Natore,Engineering and Technology,http://bauet.ac.bd/
23,Bangladesh Army University of Science and Technology,BAUST,2015,Private,Saidpur,STEM,http://baust.edu.bd/
24,Bangladesh Islami University,BIU,2006,Private,Dhaka,General,http://www.biu.ac.bd/
25,Bangladesh Open University,BOU,1992,Public,Gazipur,link,http://bou.ac.bd/
26,Bangladesh University,BU,2001,Private,Dhaka,General,http://bu.edu.bd/
27,Bangladesh University of Business and Technology,BUBT,2003,Private,Dhaka,STEM,http://www.bubt.edu.bd/
28,Bangladesh University of Engineering & Technology,BUET,1962,Public,Dhaka,Engineering,https://www.buet.ac.bd/
29,Bangladesh University of Health Sciences[154],BUHS,2012,Private,Dhaka,Health Sciences,http://buhs.ac.bd/
30,Bangladesh University of Professionals,BUP,2008,Public,Dhaka,General,http://bup.edu.bd/
31,Bangladesh University of Textiles,BUTEX,2010,Public,Dhaka,Textile Engineering,http://butex.edu.bd/
32,Barisal Engineering College.,BEC,2018,Public,Barisal,Engineering,http://barisal-eng.portal.gov.bd/
33,Begum Rokeya University,BRU,2008,Public,Rangpur,General,http://brur.ac.bd/
34,Brac University,BracU,2001,Private,Dhaka,General,http://www.bracu.ac.bd/
35,Britannia University,BU,2010,Private,Comilla,General,http://britannia.edu.bd/
36,CCN University of Science & Technology,CCNUST,2015,Private,Comilla,STEM,https://ccnuniversity.com/
37,Canadian University of Bangladesh,CUB,2015,Private,Dhaka,General,http://cub.edu.bd/
38,Central University of Science and Technology,CUST,2016,Private,Dhaka,STEM,http://cust.edu.bd/
39,Central Women's University,CWU,1993,Private,Dhaka,Women's studies,http://www.cwu.edu.bd/
40,Chandpur Science and Technology University,CSTU,2020,Public,Chandpur,STEM,http://cstu.ac.bd/
41,Chittagong Independent University (CIU),CIU,1999,Private,Chittagong,General,http://ciu.edu.bd/
42,Chittagong Medical University,CMU,2016,Public,Chittagong,Medical,http://cmu.edu.bd/
43,Chittagong University of Engineering & Technology,CUET,2003,Public,Chittagong,Engineering,http://www.cuet.ac.bd/
44,Chittagong Veterinary and Animal Sciences University,CVASU,2006,Public,Chittagong,Veterinary Science,http://cvasu.ac.bd/
45,"City University, Bangladesh",CUB,2002,Private,Dhaka,General,http://cityuniversity.edu.bd/
46,Comilla University,CoU,2006,Public,Comilla,General,http://cou.ac.bd/
47,Cox's Bazar International University,CBIU,2013,Private,Cox's Bazar,General,http://www.cbiu.ac.bd/
48,Daffodil International University,DIU,2002,Private,Dhaka,General,http://daffodilvarsity.edu.bd/
49,Dhaka International University,DIU,1995,Private,Dhaka,General,http://diu.ac/
50,Dhaka University of Engineering & Technology,DUET,2003,Public,Gazipur,Engineering,http://duet.ac.bd/
51,East Delta University,EDU,2006,Private,Chittagong,General,https://www.eastdelta.edu.bd/
52,East West University,EWU,1996,Private,Dhaka,General,http://www.ewubd.edu/
53,"Eastern University, Bangladesh",EU,2003,Private,Dhaka,General,http://www.easternuni.edu.bd/
54,European University of Bangladesh,EUB,2012,Private,Dhaka,General,http://eub.edu.bd/
